ID,Titolo,Generi,Temi,Punteggio Medio,Rank,Popolarità,Stato,Autori
731,Eden: It's an Endless World!,"Action, Drama, Gore, Psychological, Sci-Fi, Seinen, Suspense",,8.21,424,264,finished,Hiroki Endo
1075,7 Seeds,"Action, Adventure, Award Winning, Drama, Horror, Mystery, Psychological, Romance, Sci-Fi, Shoujo, Survival, Suspense",,8.21,425,779,finished,Yumi Tamura
1208,Silver Diamond,"Adventure, Boys Love, Fantasy, Isekai, Shoujo",,8.21,432,2517,finished,Shiho Sugiura
1461,Sanctuary,"Detective, Drama, Organized Crime, Seinen, Suspense",,8.21,434,527,finished,"Ryouichi Ikegami,  Buronson"
1802,Cat Street,"Drama, Love Polygon, Romance, Shoujo, Showbiz",,8.21,435,546,finished,Yoko Kamio
3731,Solanin,"Drama, Seinen, Slice of Life",,8.21,430,104,finished,Inio Asano
5651,Crows,"Action, Delinquents, School, Shounen",,8.21,431,675,finished,Hiroshi Takahashi
140409,Yoake no Uta,"Boys Love, Fantasy",,8.21,433,5233,currently_publishing,Ichika Yuno
58027,Tsurezure Children,"Comedy, Romance, School, Shounen",,8.21,434,287,finished,Toshiya Wakabayashi
62547,Yugami-kun ni wa Tomodachi ga Inai,"Comedy, School, Shounen, Slice of Life",,8.21,426,627,finished,Jun Sakura
103063,"Tadaima, Okaeri","Boys Love, Childcare, Slice of Life",,8.21,436,3251,currently_publishing,Ichi Ichikawa
106204,Majo to Yajuu,"Action, Adult Cast, Fantasy, Seinen",,8.21,422,977,on_hiatus,Kousuke Satake
107548,Steins;Gate 0,"Drama, Mystery, Sci-Fi, Seinen",,8.21,438,3819,finished,Taka Himeno
103897,Dr. Stone,"Adventure, Award Winning, Sci-Fi, Shounen, Survival, Suspense",,8.2,441,40,finished,"Riichiro Inagaki,  Boichi"
108566,Machikado Mazoku,"Comedy, Mahou Shoujo, Slice of Life",,8.2,442,2163,currently_publishing,Izumo Ito
24705,Aku no Hana,"Drama, Psychological, Romance, School, Shounen",,8.2,443,66,finished,Shuuzou Oshimi
26736,Taiyou no Ie,"Award Winning, Drama, Romance, Shoujo",,8.2,444,161,finished, Taamo
124470,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo,"Drama, Fantasy, Isekai, Psychological, Seinen, Suspense, Time Travel",,8.2,446,4616,currently_publishing,"Haruno Atori, Tappei Nagatsuki"
