ID,Titolo,Generi,Temi,Punteggio Medio,Rank,Popolarità,Stato,Autori
159130,Nick to Lever,"Comedy, Gag Humor, Seinen",,8.08,632,6664,finished,Kyougorou Miyata
24457,Mahou Shoujo Madoka★Magica,"Drama, Fantasy, Horror, Mahou Shoujo, School",,8.08,633,449,finished," Magica Quartet,  Hanokage"
26178,Donten ni Warau,"Action, Historical, Shoujo, Supernatural",,8.08,634,822,finished,Kemuri Karakara
44523,Touhou Suzunaan: Forbidden Scrollery.,Fantasy,,8.08,635,2530,finished," ZUN, Moe Harukawa"
11,Naruto,"Action, Adventure, Fantasy, Martial Arts, Shounen",,8.08,636,12,finished,Masashi Kishimoto
393,Kindaichi Shounen no Jikenbo: File Series,"Award Winning, Detective, Drama, Mystery, Shounen, Supernatural",,8.08,637,3019,finished,"Shin Kibayashi, Youzaburou Kanari, Fumiya Satou"
591,Koukou Debut,"Comedy, Romance, School, Shoujo",,8.08,638,250,finished,Kazune Kawahara
988,Shijou Saikyou no Deshi Kenichi,"Action, Comedy, Drama, Ecchi, Martial Arts, Shounen",,8.08,639,233,finished,Syun Matsuena
3097,Futatsu no Spica,"Drama, Fantasy, Sci-Fi, Seinen, Slice of Life, Supernatural",,8.08,640,3250,finished,Kou Yaginuma
3574,Tobaku Datenroku Kaiji,"Adult Cast, Drama, Psychological, Seinen, Strategy Game",,8.08,641,1550,finished,Nobuyuki Fukumoto
119931,One Room Angel,"Boys Love, Drama, Supernatural",,8.08,631,3260,finished, Harada
121303,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,"Adult Cast, Boys Love, Comedy, Supernatural, Workplace",,8.08,644,2556,currently_publishing,Yuu Toyota
124094,Jibaku Shounen Hanako-kun 0,"School, Supernatural",,8.08,645,1755,finished,Iro Aida
115710,Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou,"Action, Shounen, Supernatural",,8.07,647,126,finished,Gege Akutami
128594,One Piece: Episode A,"Action, Adventure, Fantasy, Shounen, Super Power",,8.07,648,1685,finished,"Eiichiro Oda, Tatsuya Hamazaki,  Boichi, Shou Hinata"
142799,Goukon ni Ittara Onna ga Inakatta Hanashi,"Adult Cast, Comedy, Crossdressing, Romance",,8.07,649,3763,currently_publishing,Nana Aokawa
89467,Hitoribocchi no ○○ Seikatsu,"Comedy, School, Shounen, Slice of Life",,8.07,647,769,finished, Katsuwo
633,Beauty Pop,"Comedy, Romance, School, Shoujo",,8.07,649,659,finished,Kiyoko Arai
655,Boku no Chikyuu wo Mamotte,"Drama, Fantasy, Mystery, Reincarnation, Romance, Sci-Fi, Shoujo, Space",,8.07,652,1650,finished,Saki Hiwatari
3102,Girl Friends,"Girls Love, School, Seinen",,8.07,653,362,finished,Milk Morinaga
15547,Kiichi VS,"Drama, Psychological, Seinen",,8.07,654,7376,finished,Hideki Arai
1211,Ore to Akuma no Blues,"Drama, Historical, Horror, Psychological, Seinen",,8.06,655,858,currently_publishing,Akira Hiramoto
3868,Shigurui,"Action, Drama, Gore, Historical, Martial Arts, Samurai, Seinen",,8.06,656,608,finished,"Takayuki Yamaguchi, Norio Nanjou"
12917,Shaman King Kanzenban,"Action, Adventure, Comedy, Supernatural",,8.06,662,1305,finished,Hiroyuki Takei
151815,Konjiki no Gash!! 2,"Action, Adventure, Comedy, Supernatural",,8.06,662,5967,currently_publishing,Makoto Raiku
114793,Rojica to Rakkasei,"Adventure, Fantasy, Psychological, Slice of Life",,8.06,663,2986,finished, Kinome
38105,Kase-san Series,"Girls Love, School",,8.06,666,529,finished,Hiromi Takashima
41629,Hyouka,"Drama, Mystery, School, Shounen, Slice of Life",,8.06,658,993,currently_publishing,"Honobu Yonezawa, Task Ohna"
18570,Ultra Heaven,"Avant Garde, Drama, Psychological, Sci-Fi, Seinen",,8.05,668,957,on_hiatus,Keiichi Koike
19980,Koi dano Ai dano,"Comedy, Romance, School, Shoujo",,8.05,680,1758,finished,Ririko Tsujita
24903,Gangsta.,"Action, Adult Cast, Drama, Organized Crime, Seinen",,8.05,681,234,currently_publishing, Kohske
44501,High Score Girl,"Comedy, Love Polygon, Romance, School, Seinen",,8.05,684,1012,finished,Rensuke Oshikiri
61097,Baraou no Souretsu,"Action, Drama, Historical, Shoujo, Supernatural",,8.05,675,983,finished,Aya Kanno
649,Gunslinger Girl,"Action, Award Winning, Drama, Military, Psychological, Sci-Fi",,8.05,676,710,finished,Yuu Aida
1092,Gokusen,"Action, Comedy, Delinquents, Josei, Organized Crime, Romance, School, Slice of Life, Workplace",,8.05,670,1080,finished,Kozueko Morimoto
1659,Five Star Stories,"Mecha, Military, Sci-Fi",,8.05,678,3406,currently_publishing,Mamoru Nagano
5711,Megumi no Daigo,"Action, Award Winning, Drama, Shounen",,8.05,672,5723,finished,Masahito Soda
5775,Yamamoto Zenjirou to Moushimasu,"Childcare, Drama, Romance, Shoujo, Supernatural",,8.05,673,3190,finished,Youko Maki
8742,Ashita no Ousama,"Josei, Performing Arts",,8.05,681,4811,finished,Emiko Yachi
15104,Kingdom Hearts: 358/2 Days,"Fantasy, Shounen",,8.05,682,1790,finished,"Shiro Amano, Tetsuya Nomura"
17517,Steins;Gate,"Drama, Mystery, Sci-Fi, Seinen",,8.05,683,681,finished," Nitroplus, Yomi Sarachi"
99007,"Komi-san wa, Comyushou desu.","Award Winning, Comedy, School, Shounen",,8.05,684,29,finished,Tomohito Oda
121209,Houkago Shounen Hanako-kun,"Comedy, Parody, School, Supernatural",,8.05,685,2758,currently_publishing,Iro Aida
117332,Suki na Ko ga Megane wo Wasureta,"Comedy, Love Status Quo, Romance, School, Shounen",,8.04,694,424,finished,Koume Fujichika
136975,Unmei no Hito ni Deau Hanashi,"Romance, Shoujo",,8.04,687,1412,currently_publishing, Anashin
55163,Gakkougurashi!,"Horror, Mystery, Psychological, School, Slice of Life, Survival, Suspense",,8.04,692,314,finished,"Norimitsu Kaihou, Sadoru Chiba"
59893,Tanaka-kun wa Itsumo Kedaruge,"Iyashikei, School, Slice of Life",,8.04,693,647,finished,Nozomi Uda
152907,Museru kurai no Ai wo Ageru,"Adult Cast, Romance, Shoujo",,8.04,690,1449,currently_publishing,Keiko Iwashita
22986,Ran to Haiiro no Sekai,"Drama, Fantasy, Romance, Seinen, Supernatural",,8.04,693,610,finished,Aki Irie
25245,Zoku Hoshi Mamoru Inu,"Pets, Seinen, Slice of Life",,8.04,694,3065,finished,Takashi Murakami
98374,Cardcaptor Sakura: Clear Card-hen,"Adventure, Comedy, Fantasy, Mahou Shoujo, Romance, Shoujo",,8.04,695,1134,finished, CLAMP
573,Wild Adapter,"Action, Boys Love, Comedy, Drama, Mystery, Organized Crime",,8.04,696,2493,on_hiatus,Kazuya Minekura
648,Dogs: Bullets & Carnage,"Action, Drama, Seinen",,8.04,697,516,on_hiatus,Shirow Miwa
1216,Gokinjo Monogatari,"Romance, Shoujo, Visual Arts",,8.04,698,1556,finished,Ai Yazawa
3282,Hotarubi no Mori e,"Iyashikei, Romance, Shoujo",,8.04,699,926,finished,Yuki Midorikawa
10179,Chichi no Koyomi,"Seinen, Slice of Life",,8.04,700,3163,finished,Jiro Taniguchi
11914,Adekan,"Action, Historical, Shoujo",,8.04,701,2075,currently_publishing,Tsukiji Nao
13271,Saraiya Goyou,"Adult Cast, Drama, Historical, Samurai, Seinen",,8.04,702,2131,finished,Natsume Ono
1184,Rough,"Comedy, Drama, Romance, School, Shounen, Sports, Team Sports",,8.03,703,3070,finished,Mitsuru Adachi
1260,Higurashi no Naku Koro ni: Tatarigoroshi-hen,"Drama, Horror, Mystery, Psychological, Shounen, Supernatural",,8.03,704,1402,finished,"Jirou Suzuki,  Ryukishi07"
1362,Hidamari Sketch,"CGDCT, Comedy, Iyashikei, School, Slice of Life, Visual Arts",,8.03,705,3028,currently_publishing,Ume Aoki
1474,Devilman,"Action, Adventure, Drama, Fantasy, Horror, Mythology, Psychological, Sci-Fi, Shounen, Super Power, Supernatural",,8.03,706,299,finished,Go Nagai
3076,Vassalord.,"Action, Boys Love, Comedy, Fantasy, Mystery, Shoujo, Supernatural, Vampire",,8.03,707,1209,finished,Nanae Chrono
10330,Oboreru Knife,"Drama, Love Polygon, Romance, School, Shoujo, Showbiz",,8.03,708,2690,finished,Asakura George
128995,Restart wa Onaka wo Sukasete,"Boys Love, Slice of Life",,8.03,712,5483,finished, Cocomi
130661,Josee to Tora to Sakana-tachi,"Drama, Romance, Visual Arts",,8.03,713,3089,finished,"Nao Emoto, Seiko Tanabe"
132975,Anemone wa Netsu wo Obiru,"Girls Love, School",,8.03,714,2184,currently_publishing,Ren Sakuragi
133081,Wind Breaker,"Action, Delinquents, School",,8.03,717,798,currently_publishing,Satoru Nii
80719,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen,"Drama, Fantasy, Isekai, Psychological, Seinen, Suspense, Time Travel",,8.03,717,1406,finished,"Makoto Fuugetsu, Tappei Nagatsuki"
84559,Nekota no Koto ga Kininatte Shikatanai.,"Comedy, Romance, School, Shoujo",,8.03,718,1817,finished,Rie Oouta
88110,Fate/stay night: Heaven's Feel,"Action, Fantasy, Seinen, Supernatural",,8.03,719,2457,currently_publishing," Type-Moon, Task Ohna"
35003,Yamada-kun to 7-nin no Majo,"Comedy, Harem, Mystery, Romance, School, Shounen, Supernatural",,8.03,722,113,finished,Miki Yoshikawa
41697,Ghost Hunt: Akumu no Sumu Ie,"Horror, Mystery, Shoujo, Supernatural",,8.03,712,4562,finished,"Shiho Inada, Fuyumi Ono"
128072,Zense Coupling,"Reincarnation, Romance, Supernatural",,8.02,728,2224,finished,Waka Kakitsubata
8,Full Moon wo Sagashite,"Comedy, Drama, Fantasy, Music, Romance, Shoujo, Showbiz, Supernatural",,8.02,729,476,finished,Arina Tanemura
442,Tekkon Kinkreet,"Action, Psychological, Seinen",,8.02,730,1240,finished,Taiyou Matsumoto
670,Bokurano,"Award Winning, Drama, Mecha, Psychological, Sci-Fi, Seinen, Survival",,8.02,731,535,finished,Mohiro Kitoh
1741,Worst,"Action, Comedy, Delinquents, School, Shounen",,8.02,733,1361,finished,Hiroshi Takahashi
14633,Seiyuu Ka!,"Crossdressing, Drama, Romance, School, Shoujo, Showbiz",,8.02,734,1321,finished,Maki Minami
163232,Tower Dungeon,"Action, Fantasy, Shounen",,8.02,737,1933,currently_publishing,Tsutomu Nihei
62723,Noragami: Shuuishuu,"Fantasy, Mythology, Shounen",,8.02,725,1806,finished, Adachitoka
80385,Kono Subarashii Sekai ni Shukufuku wo!,"Adventure, Comedy, Fantasy, Isekai, Parody, Shounen",,8.02,727,748,currently_publishing,"Masahito Watari, Natsume Akatsuki"
59519,Be Blues! Ao ni Nare,"Award Winning, Shounen, Sports, Team Sports",,8.01,742,3356,finished,Motoyuki Tanaka
83923,Fate/strange Fake,"Action, Fantasy, Supernatural",,8.01,744,2349,currently_publishing,"Ryohgo Narita, Shizuki Morii"
976,Vampire Juujikai,"Shounen, Supernatural, Vampire",,8.01,745,1626,finished,"Kyou Shirodaira, Yuri Kimura"
1605,Shoukoku no Altair,"Action, Award Winning, Fantasy, Military, Shounen",,8.01,746,1426,finished,Kotono Katou
1735,Detroit Metal City,"Comedy, Gag Humor, Music, Seinen",,8.01,747,1308,finished,Kiminori Wakasugi
4207,Boku no Hatsukoi wo Kimi ni Sasagu,"Award Winning, Romance, Shoujo, Slice of Life",,8.01,748,889,finished,Kotomi Aoki
4368,Toradora!,"Drama, Love Polygon, Romance, School",,8.01,764,467,currently_publishing,"Yuyuko Takemiya,  Zekkyou"
14978,Saiyuuki Reload Blast,"Action, Adventure, Comedy, Drama, Fantasy, Josei",,8.01,765,4844,currently_publishing,Kazuya Minekura
25916,Saint Seiya: The Lost Canvas - Meiou Shinwa Gaiden,"Adventure, Drama, Fantasy, Shounen",,8.01,752,4095,finished,"Masami Kurumada, Shiori Teshirogi"
52043,Chichikogusa,"Childcare, Shounen, Slice of Life",,8.01,759,3115,finished,Mi Tagawa
110485,Shuumatsu no Walküre,"Action, Fantasy, Mythology, Seinen",,8.01,755,88,currently_publishing,"Takumi Fukui, Shinya Umemura,  Ajichika"
118166,Hypnosis Mic: Division Rap Battle - side F.P & M,"Action, Josei, Music",,8.01,756,9429,finished,"Yuuichirou Momose, Kiiko Jou"
118232,Watashi no Shiawase na Kekkon,"Adult Cast, Drama, Fantasy, Historical, Romance",,8.01,757,980,currently_publishing,"Rito Kousaka, Akumi Agitogi"
122842,Kakeochi Girl,"Drama, Girls Love, Josei, Slice of Life",,8.01,758,1714,finished, Battan
128463,Uruwashi no Yoi no Tsuki,"Romance, School, Shoujo",,8.01,747,678,currently_publishing,Mika Yamamori
130934,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,"Comedy, Romance",,8.01,761,1289,currently_publishing," Saeki-san, Wan Shibata"
136793,Itou Junji Jisen Kessakushuu,"Horror, Shoujo",,8.01,749,2069,finished,Junji Itou
143031,Aishiteru Game wo Owarasetai,"Comedy, Romance, School",,8.01,767,741,currently_publishing,Yuuki Doumoto
159093,Bocchi the Rock! Gaiden: Hiroi Kikuri no Fukazake Nikki,"Adult Cast, CGDCT, Comedy, Music",,8.01,770,6373,currently_publishing, Kumichou
167099,Kesa mo Yuraretemasu ​,"Comedy, Romance, Shounen",,8.01,768,2385,currently_publishing,Eiji Masuda
104271,Chi no Wadachi,"Drama, Psychological, Seinen, Suspense",,8.01,770,115,finished,Shuuzou Oshimi
89562,Tsubaki-chou Lonely Planet,"Drama, Romance, Shoujo",,8,777,371,finished,Mika Yamamori
103942,Ao no Flag,"Romance, School, Shounen",,8,779,245,finished, KAITO
105430,Senryuu Shoujo,"Comedy, Love Status Quo, Romance, School, Shounen",,8,780,585,finished,Masakuni Igarashi
25250,Voynich Hotel,"Comedy, Ecchi, Horror, Seinen",,8,775,562,finished,Sayman Dowman
43857,Buttobi Itto,"Comedy, Shounen, Sports, Team Sports",,8,776,15909,finished,Motoki Monma
49865,Ajin,"Action, Gore, Horror, Mystery, Seinen, Supernatural",,8,777,85,finished,"Gamon Sakurai, Tsuina Miura"
68883,Colette wa Shinu Koto ni Shita,"Fantasy, Mythology, Romance, Shoujo",,8,773,1675,finished,Alto Yukimura
665,MeruPuri: Märchen☆Prince,"Comedy, Fantasy, Romance, Shoujo",,8,779,804,finished,Matsuri Hino
1506,Sunadokei,"Award Winning, Love Polygon, Romance, Shoujo",,8,780,1260,finished,Hinako Ashihara
17465,Omoide Emanon,"Drama, Seinen",,8,781,249,finished,"Kenji Tsuruta, Shinji Kajio"
116539,Subete no Jinrui wo Hakai suru. Sorera wa Saisei Dekinai.,"School, Shounen, Strategy Game",,8,782,915,currently_publishing,"Takuma Yokota, Katsura Ise"
144034,Akane-banashi,"Drama, Performing Arts, Shounen",,8,783,607,currently_publishing,"Takamasa Moue, Yuuki Suenaga"
59961,Aoharu x Kikanjuu,"Crossdressing, Shounen, Sports, Team Sports",,7.99,786,1246,finished, NAOE
89553,Usemono Yado,"Drama, Shoujo",,7.99,790,2185,finished, Hozumi
99391,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.","Comedy, Iyashikei, Pets, Slice of Life",,7.99,789,2201,currently_publishing,"Tunami Minatuki, As Futatsuya"
28899,Steins;Gate: Onshuu no Brownian Motion,"Drama, Sci-Fi, Seinen",,7.99,784,3990,finished," Nitroplus, Takeshi Mizoguchi"
117044,Hypnosis Mic: Before the Battle - The Dirty Dawg,"Action, Music, Shounen",,7.99,792,7075,finished,"Yuuichirou Momose, Rui Karasuzuki"
23,Ranma ½,"Action, Comedy, Ecchi, Harem, Martial Arts, Romance, School, Shounen",,7.99,794,321,finished,Rumiko Takahashi
509,Saiyuuki,"Action, Adventure, Drama, Fantasy",,7.99,795,1094,finished,Kazuya Minekura
544,Shigeshoushi,"Drama, Josei, Psychological, Romance",,7.99,796,1399,finished,Mitsukazu Mihara
5454,Golden Days,"Boys Love, Drama, Fantasy, Historical, Shoujo, Time Travel",,7.99,798,4459,finished,Shigeru Takao
7630,Toshokan Sensou: Love & War,"Action, Adult Cast, Military, Romance, Sci-Fi, Shoujo",,7.99,799,2700,finished,"Hiro Arikawa, Kiiro Yumi"
13897,Giant Killing,"Award Winning, Drama, Seinen, Sports, Team Sports",,7.99,801,1558,currently_publishing,"Masaya Tsunamoto,  Tsujitomo"
14110,Seitokai Yakuindomo,"Comedy, Gag Humor, School, Shounen",,7.99,802,810,finished,Tozen Ujiie
105,Kekkaishi,"Action, Adventure, Award Winning, Mythology, Shounen, Supernatural",,7.98,803,609,finished,Yellow Tanabe
5029,Kingyosou,"Drama, Romance, Shoujo",,7.98,804,2478,finished,Yuki Fujitsuka
11643,Kattobi Itto,"Comedy, Shounen, Sports, Team Sports",,7.98,805,13335,finished,Motoki Monma
13290,Ningen Shikkaku,"Drama, Historical, Psychological, Seinen",,7.98,806,468,finished,"Usamaru Furuya, Osamu Dazai"
98578,Kanata no Astra,"Adventure, Award Winning, Mystery, Sci-Fi, Shounen, Space, Survival, Suspense",,7.98,817,911,finished,Kenta Shinohara
107239,Maiko-san Chi no Makanai-san,"Award Winning, Gourmet, Iyashikei, Performing Arts, Shounen, Slice of Life",,7.98,809,3377,finished,Aiko Koyama
163455,Phantom Busters,"School, Shounen, Supernatural",,7.98,816,5141,currently_publishing, shoco
129409,Girls & Panzer: Pravda Senki,"Action, Military, School",,7.98,815,13178,finished,Hajime Yoshida
33251,Konya mo Nemurenai,"Boys Love, Supernatural",,7.98,816,1031,finished,Kotetsuko Yamamoto
36615,Hori-san to Miyamura-kun,"Romance, School",,7.98,810,1381,finished, HERO
45447,Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue,"Comedy, Love Polygon, Romance, School, Seinen",,7.98,812,1949,finished,"Rechi Kazuki, Wataru Watari"
37565,10 Dance,"Boys Love, Drama, Performing Arts, Seinen",,7.97,822,2921,currently_publishing,Satou Inoue
146207,Usuzumi no Hate,"Adventure, Sci-Fi, Seinen",,7.97,823,1668,currently_publishing,Haruo Iwamune
155285,Boku no Papa to Papa no Hanashi,"Boys Love, Childcare",,7.97,826,14564,currently_publishing, Roji
160,School Rumble,"Comedy, Gag Humor, Love Polygon, Romance, School, Shounen",,7.97,827,623,finished,Jin Kobayashi
407,Life,"Award Winning, Drama, Psychological, School, Shoujo, Slice of Life",,7.97,826,1042,finished,Keiko Suenobu
907,Mekakushi no Kuni,"Drama, Love Polygon, Romance, Shoujo, Supernatural",,7.97,827,2078,finished,Sakura Tsukuba
5820,Sumire♡16-sai!!,"Comedy, School, Shounen",,7.97,830,3165,finished,Takeru Nagayoshi
11329,Mudazumonaki Kaikaku,"Comedy, Drama, Strategy Game",,7.97,831,2241,finished,Hideki Oowada
14721,D-Frag!,"Comedy, School, Seinen",,7.97,833,601,currently_publishing,Tomoya Haruno
104829,Sachi-iro no One Room,"Drama, Suspense",,7.97,835,331,finished, Hakuri
112268,Sono Bisque Doll wa Koi wo Suru,"Otaku Culture, Romance, School, Seinen",,7.97,823,63,finished,Shinichi Fukuda
81667,Overlord,"Action, Fantasy, Isekai",,7.97,839,396,finished,"Fugin Miyama, Kugane Maruyama"
57015,Jitsu wa Watashi wa,"Comedy, Fantasy, Romance, School, Shounen, Supernatural",,7.96,840,345,finished,Eiji Masuda
75989,Boku no Hero Academia,"Action, School, Shounen, Super Power",,7.96,841,11,finished,Kouhei Horikoshi
133,Tokyo Babylon,"Drama, Fantasy, Shoujo, Supernatural",,7.96,854,882,finished, CLAMP
422,Yamato Nadeshiko Shichihenge♥,"Drama, Reverse Harem, Romance, School, Shoujo",,7.96,843,685,finished,Tomoko Hayakawa
868,Karakuri Circus,"Adventure, Mystery, Shounen",,7.96,844,2271,finished,Kazuhiro Fujita
926,Penguin Kakumei,"Comedy, Love Polygon, Romance, Shoujo, Showbiz",,7.96,845,2164,finished,Sakura Tsukuba
1031,Bokura ga Ita,"Award Winning, Drama, Love Polygon, Romance, Shoujo",,7.96,858,352,finished,Yuuki Obata
1388,Candy Candy,"Award Winning, Drama, Romance, Shoujo",,7.96,847,4117,finished,"Yumiko Igarashi, Keiko Nagita"
7378,Strobe Edge,"Love Polygon, Romance, School, Shoujo",,7.96,848,257,finished,Io Sakisaka
21040,Comic Showa-shi,"Award Winning, Historical, Memoir",,7.96,849,7464,finished,Shigeru Mizuki
23627,Yowamushi Pedal,"Award Winning, Shounen, Sports",,7.96,850,1354,currently_publishing,Wataru Watanabe
26441,"Maoyuu Maou Yuusha: 'Kono Ware no Mono to Nare, Yuusha yo' 'Kotowaru!'","Action, Adventure, Comedy, Fantasy, Mythology, Romance",,7.96,851,1113,finished,"Akira Ishida, Mamare Touno"
42531,Senyuu.,"Adventure, Comedy, Fantasy, Shounen",,7.96,854,3941,finished,Robinson Haruhara
142997,The Fable: The Second Contact,"Adult Cast, Comedy, Organized Crime, Seinen, Suspense",,7.96,861,2620,finished,Katsuhisa Minami
96581,Zelda no Densetsu: Twilight Princess,"Action, Adventure, Fantasy",,7.96,859,1762,finished,Akira Himekawa
39291,Nijiiro Days,"Comedy, Romance, School, Shoujo",,7.95,868,445,finished,Minami Mizuno
44933,Kanshikan Tsunemori Akane,"Action, Adult Cast, Detective, Drama, Mystery, Psychological, Sci-Fi, Shounen",,7.95,887,1521,finished,"Gen Urobuchi, Hikaru Miyoshi"
534,Spiral: Suiri no Kizuna,"Drama, Mystery, School, Shounen, Suspense",,7.95,870,1679,finished,"Kyou Shirodaira, Eita Mizuno"
888,Tsuki no Shippo,"Adventure, Comedy, Fantasy, Historical, Romance, Shoujo",,7.95,871,1896,finished,Rinko Ueda
1023,Koukaku Kidoutai: The Ghost in the Shell,"Action, Adult Cast, Detective, Psychological, Sci-Fi, Seinen",,7.95,872,443,finished,Masamune Shirow
1067,Cesare: Hakai no Souzousha,"Historical, Seinen",,7.95,873,3045,finished,Fuyumi Souryo
1648,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",,7.95,874,1441,finished,"Kazuki Nakashima, Kotarou Mori"
1668,Black Jack ni Yoroshiku,"Award Winning, Drama, Medical, Psychological, Seinen",,7.95,875,3506,finished,Shuho Sato
3258,Haruka na Machi e,"Award Winning, Drama, Seinen, Slice of Life, Time Travel",,7.95,876,877,finished,Jiro Taniguchi
5655,Kaijuu no Kodomo,"Award Winning, Drama, Mystery, Seinen, Supernatural",,7.95,877,1139,finished,Daisuke Igarashi
5664,Nurarihyon no Mago,"Action, Mythology, Shounen, Supernatural",,7.95,878,417,finished,Hiroshi Shiibashi
11896,Reimei no Arcana,"Drama, Fantasy, Romance, Shoujo",,7.95,879,414,finished,Rei Touma
17374,Himegimi to Sanbiki no Kemono,"Fantasy, Shoujo",,7.95,880,2495,finished,Mitsubachi Miyuki
17706,Super Lovers,"Boys Love, Comedy, Drama",,7.95,881,840,currently_publishing,Miyuki Abe
94919,Bokutachi ga Yarimashita,"Drama, Seinen",,7.95,883,686,finished,"Muneyuki Kaneshiro, Hikaru Araki"
142246,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,"Drama, Psychological, School, Seinen",,7.94,888,5758,currently_publishing,"Shougo Kinugasa, Shia Sasane"
144695,Blue Lock: Episode Nagi,"Shounen, Sports, Team Sports",,7.94,889,1888,currently_publishing,"Muneyuki Kaneshiro, Kouta Sannomiya"
150973,Lycoris Recoil,"Action, Seinen",,7.94,894,4327,currently_publishing,Yasunori Bizen
59669,Steins;Gate: Eigou Kaiki no Pandora,"Drama, Sci-Fi",,7.94,897,5840,on_hiatus,"Masashi Takimoto, Yasuyuki Torikai"
62083,Saenai Heroine no Sodatekata: Koisuru Metronome,"Comedy, Drama, Romance, Seinen",,7.94,898,1813,finished,"Sabu Musha, Fumiaki Maruto"
90334,Queen's Quality,"Romance, Shoujo, Supernatural",,7.94,905,1699,currently_publishing,Kyousuke Motomi
95920,Niehime to Kemono no Ou,"Fantasy, Romance, Shoujo",,7.94,906,1244,finished,Yuu Tomofuji
392,Kimi wa Pet,"Award Winning, Comedy, Drama, Josei, Romance",,7.94,907,855,finished,Yayoi Ogawa
1250,Deep Love: Ayu no Monogatari,"Drama, Shoujo",,7.94,909,1086,finished," Yoshi, Yuu Yoshii"
1496,Tenshi Nanka ja Nai,"Drama, Romance, School, Shoujo",,7.94,910,3143,finished,Ai Yazawa
3438,Psyren,"Action, Adventure, High Stakes Game, Psychological, Romance, Sci-Fi, Shounen, Strategy Game, Super Power, Supernatural",,7.94,911,160,finished,Toshiaki Iwashiro
3633,Beast Master,"Comedy, Romance, Shoujo",,7.94,912,281,finished,Kyousuke Motomi
3941,Clannad: Tomoyo After,"Drama, Romance",,7.94,913,2755,finished," Key, Yukiko Sumiyoshi"
10270,Karneval,"Action, Fantasy, Josei, Mystery, Sci-Fi",,7.94,914,520,finished,Touya Mikanagi
14568,Clover,"Action, Comedy, Delinquents, Shounen",,7.94,915,1969,finished,Tetsuhiro Hirakawa
871,Dragon Quest: Dai no Daibouken,"Action, Adventure, Fantasy, Shounen",,7.93,917,1662,finished,"Riku Sanjou, Koji Inada"
975,Ludwig Kakumei,"Adventure, Drama, Fantasy, Historical, Horror, Romance, Shoujo, Supernatural",,7.93,918,1641,finished,Kaori Yuki
2435,Crayon Shin-chan,"Comedy, School, Seinen, Slice of Life",,7.93,919,3470,finished,Yoshito Usui
3713,Bartender,"Adult Cast, Gourmet, Seinen, Workplace",,7.93,920,1077,finished,"Kenji Nagatomo, Araki Jou"
4584,Sasameki Koto,"Comedy, Drama, Girls Love, School, Seinen",,7.93,921,832,finished,Takashi Ikeda
4623,Hyakki Yakoushou,"Award Winning, Historical, Horror, Mystery, Romance, Shoujo, Supernatural",,7.93,922,5890,currently_publishing,Ichiko Ima
6997,Clannad: Hikaru Mimamoru Sakamichi de,"Drama, Romance",,7.93,923,5557,finished,"Jun Maeda,  Key, Rino Fujii"
17541,Shinrei Tantei Yakumo,"Horror, Mystery, Romance, Shoujo, Supernatural",,7.93,926,970,finished,"Manabu Kaminaga, Suzuka Oda"
26021,Hajimari no Niina,"Romance, Shoujo",,7.93,928,1319,finished,Koyomi Minamori
97179,Hokuhokusei ni Kumo to Ike,"Detective, Drama, Seinen, Supernatural, Suspense",,7.93,933,2021,currently_publishing,Aki Irie
98639,Maoujou de Oyasumi,"Comedy, Fantasy, Parody, Shounen",,7.93,934,902,currently_publishing,Kagiji Kumanomata
118668,Dark Gathering,"Horror, Shounen, Supernatural",,7.93,935,1876,currently_publishing,Kenichi Kondou
113937,Hokuou Kizoku to Moukinzuma no Yukiguni Karigurashi,"Romance, Slice of Life",,7.92,939,4627,finished,"Mashimesa Emoto, Shikayo Shirakaba"
123681,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,"Comedy, Harem, Parody, Romance, School, Seinen",,7.92,940,273,currently_publishing,"Yukiko Nozawa, Rikito Nakamura"
163882,Kimi to Uchuu wo Aruku Tame ni,"Award Winning, Josei, School, Slice of Life",,7.92,946,9095,currently_publishing,Inuhiko Doronoda
118,Kobato.,"Adventure, Fantasy, Iyashikei, Romance",,7.92,941,896,finished, CLAMP
164,Nousatsu Junkie,"Comedy, Crossdressing, Romance, School, Shoujo, Showbiz",,7.92,942,1663,finished,Ryoco Fukuyama
1456,Shi ga Futari wo Wakatsu made,"Action, Drama, Sci-Fi, Seinen, Supernatural",,7.92,950,625,finished,"Ji-Hyung Song, Hiroshi Takashige"
1683,Kubikiri Asa,"Action, Drama, Historical, Samurai",,7.92,951,2929,finished,"Kazuo Koike, Goseki Kojima"
