ID,Nome,Generi/Temi,Start Date,End Date,Mean Score,Rank,Popularity,Volumi,Capitoli,Stato,Tipo Media,Autori,Serializzazioni
103244,Gekijouban Sword Art Online: Ordinal Scale,"Action, Adventure, Mystery, Video Game",2017-04-27,2020-04-17,7.83,1238,5809,5,20,finished,manga,"Reki Kawahara,  IsII",
149804,Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta,"Comedy, Romance, School",2022-07-27,,7.83,1243,2138,0,0,currently_publishing,manga," Takata, Rin Ono",
23689,"Inari, Konkon, Koi Iroha.","Comedy, Romance, School, Seinen, Supernatural",2010-07-03,2015-04-04,7.83,1245,1083,10,53,finished,manga,Morohe Yoshida,
34335,Durarara!! Saika-hen,"Action, Comedy, Drama, Romance, Shounen, Supernatural",2011-09-17,2013-01-18,7.83,1246,3685,3,16,finished,manga,"Ryohgo Narita, Akiyo Satorigi",
1376,Dogs: Stray Dogs Howling in the Dark,"Action, Drama, Mystery, Sci-Fi, Seinen",2000,2001,7.83,1248,1074,1,6,finished,manga,Shirow Miwa,
1397,Chi's Sweet Home,"Comedy, Pets, Seinen, Slice of Life",2004-01-08,2015-06-18,7.83,1249,1614,12,219,finished,manga,Kanata Konami,
4742,Kamen Rider Spirits,"Action, Adventure, Horror, Sci-Fi, Seinen",2000-11-25,2009-01-26,7.83,1250,7418,16,96,finished,manga,"Shoutarou Ishinomori, Kenichi Muraeda",
6889,Moon: Subaru Solitude Standing,"Drama, Performing Arts, Seinen",2007-08-06,2011-10-24,7.83,1251,9427,9,99,finished,manga,Masahito Soda,
7747,Ushio to Tora,"Action, Award Winning, Comedy, Mythology, Shounen, Supernatural",1990-02-10,1996-10-09,7.83,1252,2250,33,313,finished,manga,Kazuhiro Fujita,
9705,Ginga Tetsudou 999 (1996),"Adventure, Drama, Fantasy, Sci-Fi, Seinen, Space",1996,2004,7.83,1253,7341,7,46,finished,manga,Leiji Matsumoto,
12064,Sora Log,"Drama, Romance, School, Shoujo",2008-10-24,2010-02-24,7.83,1255,1667,4,19,finished,manga,Kako Mitsuki,
14498,Acid Town,"Action, Boys Love, Drama",2008-03-22,,7.83,1255,1322,0,0,currently_publishing,manga, Kyuugou,
14841,Durarara!!,"Action, Drama, Supernatural",2009-06-18,2011-04-18,7.83,1256,763,4,22,finished,manga,"Ryohgo Narita, Akiyo Satorigi",
170269,Rii-chan,Romance,2024-04-12,2024-04-12,7.83,1257,11317,1,0,finished,manga,Koudai Yamamoto,
55377,Kasane,"Drama, Performing Arts, Psychological, Seinen, Supernatural",2013-04-23,2018-08-10,7.83,1258,550,14,126,finished,manga,Daruma Matsuura,
56435,Shinohayu: The Dawn of Age,Seinen,2013-07-25,,7.83,1259,11496,0,0,currently_publishing,manga,"Aguri Igarashi, Ritz Kobayashi",
60977,Mahouka Koukou no Rettousei: Tsuioku-hen,"Fantasy, Sci-Fi, Urban Fantasy",2014-02-27,2015-07-27,7.83,1260,2807,3,17,finished,manga,"Tsutomu Satou, Waki Ikawa",
69841,Kenrantaru Grande Scène,"Drama, Performing Arts, Seinen, Slice of Life",2013-07-19,,7.83,1262,6317,0,0,currently_publishing,manga, Cuvie,
55301,Les Misérables,"Drama, Historical, Shounen",2013-09-12,2016-05-12,7.82,1265,7804,8,33,finished,manga,"Takahiro Arai, Victor Hugo",
61959,Kishibe Rohan wa Ugokanai,"Mystery, Shounen, Supernatural",1997-06-24,,7.82,1267,1242,0,0,currently_publishing,manga,Hirohiko Araki,
72439,Setoutsumi,"Comedy, Shounen, Slice of Life",2012-12-06,2017-11-10,7.82,1269,5525,8,73,finished,manga,Kazuya Konomoto,
73451,K: Lost Small World,"Josei, Supernatural",2014-06-13,2016-06-13,7.82,1270,8445,3,13,finished,manga," GoRA, Yoru Ookita",
